10024009-20         00018000 0253683                                                     090217
10024009-20         00020000 0254080                                                     090217
10024009-20         00025000 0254082                                                     090421
10024009-20         00025000 0254083                                                     090127
10024009-20         00011250 0254254                                                     090416
10024009-20         00018000 0254255                                                     090421
10024009-20         00018000 0254257                                                     090603
10024109-17         00022000 0253694                                                     090603
10024109-17         00015000 0254098                                                     090204
10024109-17         00015750 0254270                                                     090603
10025008-20         00012000 0253709                                                     090317
10025008-20         00025000 0254102                                                     090323
10025008-20         00008100 0254276                                                     090603
10025009-20         00026000 0253717                                                     090617
10025009-20         00037000 0254109                                                     090323
10025009-20         00030000 0254114                                                     090323
10025009-20         00008000 0259067                                                     090215
10031008-17         00005400 0254293                                                     090603
10031108-20         00005000 0253735                                                     090304
10031108-20         00007000 0254296                                                     090603
10032009-20         00004000 0253738                                                     090415
10032009-20         00003000 0254151                                                     090316
10033009-17         00010000 0253745                                                     090323
10034008-20         00007000 0253748                                                     090316
10034008-20         00005200 0254097                                                     090316
10034008-20         00015000 0259083                                                     090310
10035009-17         00007000 0253776                                                     090610
10035009-17         00003700 0263757                                                     090130
10036008-20         00008000 0253798                                                     090216
10036008-20         00011000 0254122                                                     090421
10036008-20         00029000 0254166                                                     090216
10036008-20         00003600 0259064                                                     090203
10040009-20         00013000 0253822                                                     090415
10040009-20         00015000 0263751                                                     090224
10040010-20         00017000 0253835                                                     090417
10040109-17         00015000 0244851                                                     090304
10040109-17         00006000 0253861                                                     090304
10040109-17         00003500 0254193                                                     090603
10042009-20         00015000 0253875                                                     090330
10042009-20         00010000 0254206                                                     090316
10042010-20         00012000 0253897                                                     090330
10042010-20         00008000 0254213                                                     090305
10042109-17         00016000 0259112                                                     090303
10044009-20         00030000 0253981                                                     090610
10044009-20         00025000 0254220                                                     090324
10044009-20         00030000 0254221                                                     090406
10044010-20         00017000 0254040                                                     090330
10044010-20         00006000 0254226                                                     090406
10044109-17         00012000 0254052                                                     090410
10044109-17         00010000 0254233                                                     090406
10174009-17         00005000 0247524                                                     090327
